Date,Open,High,Low,Close,Volume
2018-10-18,52.48,52.959,49.860001,50.860001,73500
2018-10-19,50.860001,51.200001,49.740002,50,51600
2018-10-22,49.869999,50.43,48.625999,49.75,46000
2018-10-23,47.849998,49.669998,47.259998,48.73,93000
2018-10-24,49.790001,49.790001,43.630001,43.689999,138800
2018-10-25,44.419998,44.869999,43.099998,43.52,77000
2018-10-26,43,44.02,40.810001,42.950001,79800
2018-10-29,44.27,44.52,36.365002,37.959999,134900
2018-10-30,37.790001,40.698002,37.32,40.59,82600
2018-10-31,42.16,43.799999,42.16,42.189999,115000
2018-11-01,43.57,45.5,42.580002,45.18,87800
2018-11-02,45.740002,47,44.59,45.069,96900
2018-11-05,45.439999,46.130001,44.592999,45.835999,69400
2018-11-06,46,47.650002,45.900002,47.369999,65800
2018-11-07,48.049999,48.810001,46.119999,48.779999,80300
2018-11-08,48.709999,48.950001,47.604,48.310001,33600
2018-11-09,47.5,48.740002,47.400002,48.43,42100
2018-11-12,48.490002,48.490002,44.23,44.279999,78000
2018-11-13,44.380001,45.450001,43.209999,43.889999,38200
2018-11-14,43.880001,45.299999,42.77,42.860001,38900
2018-11-15,42,44.950001,41.449001,44.189999,39800
2018-11-16,44.189999,44.189999,42.450001,43.66,21100
2018-11-19,43.189999,43.189999,39.91,40.169998,60700
2018-11-20,38.299999,38.689999,36.599998,38.259998,124500
2018-11-21,39.48,39.618999,38.68,38.805,30500
2018-11-23,38.799999,40.157001,38.799999,39.48,16200
2018-11-26,40.400002,41.049999,39.419998,40.150002,34700
2018-11-27,38.919998,39.25,37.450001,38.290001,78900
2018-11-28,39.5,41.09,38.477001,41.060001,85700
2018-11-29,40.66,41.833,40.18,41.209999,36900
2018-11-30,40.935001,41.845001,40.400002,41.650002,32900
2018-12-03,44,44.540001,42.016998,42.66,98100
2018-12-04,42.009998,42.73,37.556,37.560001,131800
2018-12-06,36.439999,36.939999,33.34,36.860001,136400
2018-12-07,36.599998,38.425999,34.939999,35.330002,84800
2018-12-10,35.860001,37.5,34.790001,36.900002,119100
2018-12-11,38.209999,38.900002,35.536999,36.299999,78200
2018-12-12,37.700001,39.070999,37.52,37.52,65900
2018-12-13,38.23,38.23,36.580002,36.799999,46200
2018-12-14,35.549999,36.514,35.404999,35.73,50700
2018-12-17,35.220001,36.470001,33.189999,33.689999,58300
2018-12-18,34.529999,35.900002,33.869999,34.43,59400
2018-12-19,34.43,35.349998,31.26,31.969999,85000
2018-12-20,31.58,32.02,28.143,29.209999,116000
2018-12-21,29,29.452999,27,27.02,69100
2018-12-24,25.83,26.231001,24.66,24.66,76500
2018-12-26,25.389999,27.370001,23.889999,27.370001,105400
2018-12-27,25.83,28.540001,25.5,28.540001,102100
2018-12-28,29.440001,29.719999,28.200001,28.65,104100
2018-12-31,29.25,29.76,28.83,29.66,61300
2019-01-02,27.84,30.08,27.84,30.08,42100
2019-01-03,29.959999,29.959999,27.17,27.17,72300
2019-01-04,28.040001,30.18,28.040001,29.99,62300
2019-01-07,30.09,30.9,29.42,30.639999,53500
2019-01-08,31.950001,32.181999,31.201,32.150002,60000
2019-01-09,32.630001,33,32.299999,32.720001,91300
2019-01-10,32.43,33.959999,32.18,33.889999,42900
2019-01-11,34,34.18,32.737,34.16,48000
2019-01-14,33.700001,34.764,33.094002,34.080002,31100
2019-01-15,34.071999,34.431999,33.279999,34.290001,31300
2019-01-16,34.869999,34.869999,33.700001,34.029999,50700
2019-01-17,33.290001,36.32,33.279999,35.630001,68400
2019-01-18,36.540001,37.82,36.359001,37.349998,130000
2019-01-22,36.599998,36.599998,33.91,34.59,102000
2019-01-23,35.509998,36.720001,34.555,35.919998,74700
2019-01-24,36.560001,37.629002,36.316002,36.990002,64700
2019-01-25,37.779999,38.470001,37.59,37.91,79200
2019-01-28,37,37.771,36.200001,37.771,70300
2019-01-29,37.830002,40.419998,37.830002,39.869999,159400
2019-01-30,41.84,42.18,39.443001,41.599998,232700
2019-01-31,41.009998,42.138,40.400002,41.540001,121100
2019-02-01,41.619999,42.542999,41.25,41.529999,62500
2019-02-04,41.900002,44.240002,41.748001,44.215,64500
2019-02-05,44.82,45.73,44.279999,45.73,157600
2019-02-06,46.130001,46.299999,45.200001,45.860001,70300
2019-02-07,45.41,45.41,43.48,45.049999,147900
2019-02-08,44.139999,45.5,43.709999,45.5,49800
2019-02-11,46.029999,46.627998,45.610001,46.02,67100
2019-02-12,47,47.828999,46.827,47.700001,63700
2019-02-13,48.73,48.73,47.409,47.810001,69900
2019-02-14,47.25,48.200001,46.759998,47.66,39700
2019-02-15,47.52,50.546001,47.52,50.490002,134900
2019-02-19,50.25,50.880001,49.799999,50.5,98100
2019-02-20,50.5,51.339001,50.202,51.189999,57200
2019-02-21,51.200001,51.200001,49.592999,50.119999,72900
2019-02-22,50.630001,51.500999,50.43,51.459999,46600
2019-02-25,52.259998,52.650002,51.330002,51.521,70100
2019-02-26,51.34,51.5,50.349998,50.349998,52300
2019-02-27,49.759998,50.889999,49.231998,50.759998,48300
2019-02-28,51.02,52.23,51.02,51.349998,43900
2019-03-01,51.540001,52,50.439999,51.189999,64800
2019-03-04,51.830002,52.23,48.083,48.849998,111900
2019-03-05,48.799999,49.110001,48.130001,48.18,32200
2019-03-06,47.98,49.150002,46.669998,46.68,98300
2019-03-07,46.25,46.400002,44.327999,45.639999,106500
2019-03-08,44.02,45.290001,44,45.200001,61400
2019-03-11,42.509998,44.91,41.549999,44.91,94100
2019-03-12,44.07,44.426998,42.93,43.360001,71000
2019-03-13,44.040001,45.02,43.400002,44.43,110000
2019-03-14,44.619999,44.91,43.369999,43.380001,53200
2019-03-15,43.580002,43.939999,42.287998,43.09,103600
2019-03-18,42.860001,44.130001,42.5,44.07,37700
2019-03-19,44.549999,45.349998,43.290001,43.740002,94500
2019-03-20,43.299999,44.337002,42.68,43.200001,57300
2019-03-21,42.799999,44.400002,42.799999,44.16,44100
2019-03-22,43.189999,43.485001,40.77,41.014999,95500
2019-03-25,40.98,42.07,40.970001,41.880001,42700
2019-03-26,43,43,41.275002,42.029999,39500
2019-03-27,42.209999,42.93,40.939999,42.110001,69100
2019-03-28,42.529999,43.078999,42.011002,42.98,30200
2019-03-29,43.610001,44.439999,43.610001,44.369999,45300
2019-04-01,45.16,47.529999,45.16,47.455002,86800
2019-04-02,47.34,47.597,46.27,46.450001,49500
2019-04-03,46.830002,46.960999,44.405998,44.830002,106700
2019-04-04,44.970001,47.276001,44.970001,46.57,86900
2019-04-05,47.290001,47.5,46.810001,47.48,52200
2019-04-08,45.599998,46.119999,44.709999,46.07,80900
2019-04-09,45.23,45.23,44.009998,44.18,63700
2019-04-10,44.5,44.5,43.25,43.849998,44300
2019-04-11,44.189999,45.73,44.189999,45.610001,48400
